序号	流水号	项    目    名    称	起止时间	资助经费(万元)	下  达  部  门	
207	SX2008-10	布尔代苏上的广义循环矩阵	2008-2010	1.50 	校科技发展基金	
208	SX2008-11	关联规则挖掘及其在无限传感器网络中应用	2008-2010	1.50 	校科技发展基金	
209	SX2008-12	无线网格网路由算法的研究	2007-2010	5.00	校人才基金	
210	SX2008-13	分数阶偏微分方程的数值解及其应用	2008-2010	2.00	校人才基金	
211	SX2008-14	无线网络中可信协作通信关键技术研究	2008-2011	2.50	校人才基金	
212	SX2008-15	黎曼流行特征值及微分方程若干问题的研究	2008-2011	2.00	校人才基金	
213	SX2008-16	信资产定价模型与离散动力系统	2008-2010	0.50	福建省教育厅B类	
214	SX2008-17	Poisson方程谱元法的应用研究	2008-2010	0.50	福建省教育厅B类	
215	SX2008-18	自适应层次网格空间索引技术的研究	2008-2010	0.50	福建省教育厅B类	
216	SX2008-19	周期系数二阶方程特征指数的计算与估计	2008-2010	0.50	福建省教育厅B类	
217	SX2008-20	关于反应扩散系统全局解的研究	2008-2010	0.50	福建省教育厅B类	
218	SX2008-21	测度链上的微分方程的研究	2008-2010	0.50	福建省教育厅B类	
219	SX2008-22	非参数秩统计量计算及其应用研究	2008-2010	0.50	福建省教育厅B类	
220	SX2008-23	教学应用性统计分析软件的设计	2008-2010	0.50	福建省教育厅B类	
221	SX2008-24	生态系统的持久性和绝灭性	2008-2010	0.50	福建省教育厅B类	
222	SX2008-25	二阶非线性方程周期解的存在、唯一性	2008-2010	0.50	福建省教育厅B类	
223	SX2008-26	神经网络与生态动力系统的研究	2008-2010	0.50	福建省教育厅B类	
224	SX2008-27	博弈与逻辑的相关性研究	2008-2010	0.50	福建省教育厅B类	
225	SX2008-28	基于粒子群优化的无限传感器网络任务分配调度研究	2008-2010	1.00	福建省教育厅A类	
226	SX2008-29	测度链上微分方程及其在生物数学中的应用	2008-2010	1.00	福建省教育厅A类	
227	SX2008-30	微分方程的概周期解理论及实际应用的研究	2008-2010	1.00	福建省教育厅A类	
228	SX2008-31	推广的框架及其应用	2008-2010	1.00	福建省教育厅A类	
229	SX2008-32	无线Mesh网络跨层协议设计研究	2008-2010	7.50	福建省教育厅A类	
230	SX2008-33	Web数据集成系统中的查询处理	2008-2010	2.50	留学回国科研启动基金	
231	SX2008-34	数据集成支撑软件--分布式ETL工具研究与开发	2008-2009	15.00	福建省科技厅	
232	SX2008-35	免疫病理图像定量分析系统	2008-2010	15.00	福建省科技厅	
233	SX2008-36	福建省超级计算中心	2008-2009	338.00	福建省发展和改革委员会	
福州大学数字媒体研究院						
234	SZ2008-1	福州大学虚拟现实与空间合成创意研发中心	2008-2010	50.00	福建省发改委	
235	SZ2008-2	动漫技术设备、公共技术平台支撑体系研究	2008-2009	50.00	国家文化部	
236	SZ2008-3	一种新的免散瞳眼底自动照相机及其远程会诊系统的研究	2009-2011	100.00 	国家自然科学基金（专项）	
土木工程学院						
237	TM2008-1	基于斜拉桥整体分析的拉索非线性振动有限元方法研究	2009-2011	20.00 	国家自然科学基金	
238	TM2008-2	自密实混凝土加固结构的关键技术研究	2009-2011	35.00 	国家自然科学基金	
239	TM2008-3	基于盲源分离与信息不完备的结构响应分析与安全性评定	2009-2011	36.00 	国家自然科学基金	
240	TM2008-4	混凝土面板堆石坝三维非线性有限元分析中关键技术研究	2008-2010	6.00 	福建省自然科学基金	
241	TM2008-5	基于新型环形约束收缩试验的混凝土裂缝预测与评价研究	2008-2011	4.00 	福建省自然科学基金	
242	TM2008-6	活性粉末混凝土及其在强酸侵蚀环境中的耐久性研究	2008-2011	10.00 	福建省青年科技人才创新项目	
243	TM2008-7	粉砂土地基堤防工程抗震稳定性分析和震害预测研究	2008-2010	2.50 	校科技发展基金	
244	TM2008-8	地下混凝土结构应力与硫酸盐侵蚀环境的综合腐蚀效应研究	2008-2010	2.50 	校科技发展基金	
245	TM2008-9	无伸缩缝曲线箱梁桥剪力滞效应的有限段法分析	2008-2010	2.50 	校科技发展基金	
246	TM2008-10	基于健康监测的桥梁结构移动荷载识别方法研究	2008-2010	1.50 	校科技发展基金	
247	TM2008-11	邻近建筑物超载时深基坑施工变形特性研究	2008-2010	1.50 	校科技发展基金	
248	TM2008-12	钢管混凝土拱桥结构的徐变研究	2008-2010	3.00	校人才基金	
249	TM2008-13	地下水长期作用下软岩的流变与损伤耦合研究	2008-2010	5.00	校人才基金	
